departement;categorie;titre;contenu;difficulte;rarete;source;consigne
77 Seine-et-Marne;culture;Provins en spectacle;Provins ne vit pas seulement sur son classement patrimonial. La ville met en scène son passé avec fêtes médiévales, remparts et spectacles. Cette culture de la reconstitution rend le Moyen Âge accessible, visuel et très adapté à une lecture mobile.;2;commune;Office de tourisme Provins;moins de 15 secondes sur smartphone
77 Seine-et-Marne;culture;Le château comme décor;Fontainebleau a inspiré artistes, photographes, cinéastes et visiteurs du monde entier. Son escalier, ses galeries et ses cours forment un vocabulaire visuel immédiatement reconnaissable. La Seine-et-Marne y gagne une culture de décor autant qu’une histoire officielle. C’est un repère culturel facile à retenir pendant une partie.;2;commune;Château de Fontainebleau;moins de 15 secondes sur smartphone
77 Seine-et-Marne;culture;Meaux raconte 14-18;Le musée de la Grande Guerre de Meaux transforme une histoire nationale en expérience locale. Uniformes, affiches et objets quotidiens rapprochent le conflit du visiteur. Pour un jeu mobile, c’est une porte d’entrée claire vers une mémoire complexe. C’est un repère culturel facile à retenir pendant une partie.;3;peu commune;Musée de la Grande Guerre;moins de 15 secondes sur smartphone
77 Seine-et-Marne;insolite;Des rochers pour grimper;La forêt de Fontainebleau est devenue un haut lieu mondial de l’escalade de blocs. Des grimpeurs viennent pour ses rochers de grès, parfois très bas mais très techniques. L’anecdote montre une nature francilienne active, sportive et inattendue. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;Office national des forêts;moins de 15 secondes sur smartphone
77 Seine-et-Marne;insolite;Les souterrains de Provins;Provins possède des galeries souterraines qui ajoutent une couche mystérieuse à la ville médiévale. Elles rappellent que le patrimoine ne se voit pas toujours depuis la rue. Sous les remparts et les maisons, la ville conserve une autre profondeur. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Office de tourisme Provins;moins de 15 secondes sur smartphone
77 Seine-et-Marne;insolite;Un château trop réussi;Vaux-le-Vicomte est souvent raconté comme un château si réussi qu’il aurait inquiété Louis XIV. Même si l’histoire est plus complexe, l’idée reste forte. Le lieu montre comment la beauté peut devenir un risque politique. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Château de Vaux-le-Vicomte;moins de 15 secondes sur smartphone
77 Seine-et-Marne;insolite;Un département très rural;Malgré son appartenance à l’Île-de-France, la Seine-et-Marne garde une forte image rurale. Champs, villages et forêts occupent une place majeure. C’est une surprise utile pour GeoDoku, car le département casse le réflexe Paris égal urbain. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;INSEE;moins de 15 secondes sur smartphone
77 Seine-et-Marne;insolite;Moret, sucre et peinture;Moret-sur-Loing peut se raconter par une confiserie, des portes médiévales et les toiles de Sisley. Peu de petites villes concentrent des entrées aussi différentes. Cette densité discrète en fait une anecdote idéale pour découvrir autrement la Seine-et-Marne. Ce détail crée une image rapide, utile pour retenir le département.;3;rare;Office de tourisme Moret Seine et Loing;moins de 15 secondes sur smartphone
75 Paris;histoire;Lutèce sous Paris;Avant Paris, il y eut Lutèce, ville gallo-romaine dont on retrouve encore des traces dans les arènes ou les thermes de Cluny. L’anecdote rappelle que la capitale n’a pas commencé comme décor monumental, mais comme ville antique sur la Seine.;2;commune;Musée Carnavalet;moins de 15 secondes sur smartphone
75 Paris;histoire;Notre-Dame commencée au XIIe siècle;La construction de Notre-Dame de Paris débute au XIIe siècle et s’étend sur plusieurs générations. C’est une idée forte pour le joueur, car la cathédrale n’est pas seulement un monument. Elle est un chantier de longue durée devenu symbole mondial.;1;commune;Cathédrale Notre-Dame de Paris;moins de 15 secondes sur smartphone
75 Paris;histoire;La Bastille disparue;La Bastille est surtout connue par sa prise en 1789, mais la forteresse elle-même a disparu. Paris conserve donc un symbole politique plus qu’un bâtiment. La place raconte une absence devenue plus puissante que la pierre. Ce repère aide à mémoriser le département sans multiplier les dates.;1;commune;Musée Carnavalet;moins de 15 secondes sur smartphone
75 Paris;histoire;Haussmann redessine la ville;Au XIXe siècle, les travaux d’Haussmann transforment Paris avec de grands boulevards, des immeubles alignés et de nouvelles perspectives. L’anecdote est essentielle, car beaucoup de ce que l’on imagine comme Paris vient en réalité de cette refonte moderne. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Ville de Paris;moins de 15 secondes sur smartphone
75 Paris;histoire;La Commune de 1871;La Commune de Paris, en 1871, reste l’un des épisodes politiques les plus intenses de l’histoire française. Elle associe insurrection, répression et mémoire sociale. Pour GeoDoku, Paris devient ici un territoire de conflit, pas seulement de prestige. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Musée Carnavalet;moins de 15 secondes sur smartphone
75 Paris;histoire;La Libération de 1944;En août 1944, Paris est libérée après l’insurrection intérieure et l’arrivée des forces alliées. L’épisode garde une grande force symbolique. Il rappelle que la capitale peut devenir un théâtre militaire et populaire, pas uniquement institutionnel. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Musée de la Libération de Paris;moins de 15 secondes sur smartphone
75 Paris;histoire;La tour Eiffel provisoire;Construite pour l’Exposition universelle de 1889, la tour Eiffel n’était pas destinée à devenir immédiatement l’icône absolue de Paris. Son histoire montre comment un ouvrage contesté peut devenir un repère mondial, presque impossible à séparer de la ville. Ce repère aide à mémoriser le département sans multiplier les dates.;1;commune;Tour Eiffel;moins de 15 secondes sur smartphone
75 Paris;histoire;Le Louvre devient musée;Le Louvre fut d’abord une forteresse puis un palais avant de devenir un musée ouvert au public pendant la Révolution. Cette transformation résume Paris en une idée simple. Le pouvoir royal devient patrimoine partagé, puis attraction culturelle mondiale. Ce repère aide à mémoriser le département sans multiplier les dates.;1;commune;Musée du Louvre;moins de 15 secondes sur smartphone
75 Paris;histoire;Les catacombes réorganisent la mort;Les catacombes de Paris naissent du transfert d’ossements depuis des cimetières saturés à la fin du XVIIIe siècle. L’anecdote est forte car elle révèle une ville souterraine, pratique et macabre, sous la capitale élégante. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Catacombes de Paris;moins de 15 secondes sur smartphone
75 Paris;histoire;Père-Lachaise, cimetière jardin;Ouvert au début du XIXe siècle, le Père-Lachaise transforme le cimetière en lieu de promenade, de mémoire et de célébrité. Paris y raconte autrement son histoire culturelle. Les tombes deviennent des repères, presque des stations de musée en plein air.;2;commune;Ville de Paris;moins de 15 secondes sur smartphone
75 Paris;géographie;La Seine comme colonne vertébrale;La Seine organise Paris bien avant les monuments. Îles, ponts, quais et rives donnent une structure lisible à la ville. Pour un joueur, comprendre Paris par le fleuve évite de le réduire à une collection de lieux célèbres. Ce repère donne une image claire du département en quelques secondes.;1;commune;Ville de Paris;moins de 15 secondes sur smartphone
75 Paris;géographie;Les arrondissements en escargot;Les vingt arrondissements parisiens forment une spirale qui part du centre et tourne vers l’extérieur. Cette organisation administrative est très visuelle. Elle donne à Paris une géographie codée, presque ludique, idéale pour un jeu de territoire. Ce repère donne une image claire du département en quelques secondes.;2;commune;Ville de Paris;moins de 15 secondes sur smartphone
75 Paris;géographie;Des collines dans la capitale;Montmartre, Belleville ou la montagne Sainte-Geneviève rappellent que Paris n’est pas plat. Les reliefs sont modestes, mais ils changent les vues, les ambiances et l’histoire des quartiers. Une capitale dense peut aussi se lire par ses hauteurs. Ce repère donne une image claire du département en quelques secondes.;2;commune;IGN;moins de 15 secondes sur smartphone
75 Paris;géographie;Deux grands bois;Paris possède deux grands bois aux portes de la ville, Boulogne à l’ouest et Vincennes à l’est. Ils élargissent l’image de la capitale. Derrière la densité urbaine, Paris garde aussi des respirations vertes et très fréquentées. Ce repère donne une image claire du département en quelques secondes.;2;commune;Ville de Paris;moins de 15 secondes sur smartphone
75 Paris;géographie;Une petite surface très dense;Paris est une commune de superficie réduite par rapport à son rayonnement mondial. Cette contradiction est utile à retenir. Une petite surface concentre institutions, musées, gares, quartiers et symboles, ce qui explique son intensité territoriale exceptionnelle. Ce repère donne une image claire du département en quelques secondes.;2;commune;INSEE;moins de 15 secondes sur smartphone
75 Paris;gastronomie;Le bistrot parisien;Le bistrot parisien n’est pas seulement un type de restaurant. C’est une scène sociale faite de comptoir, plats simples, habitués et discussions rapides. Pour GeoDoku, il raconte une capitale vécue au quotidien, loin des seuls monuments. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Paris je t'aime Office de tourisme;moins de 15 secondes sur smartphone
75 Paris;gastronomie;La soupe à l’oignon;La soupe à l’oignon reste associée aux Halles et aux nuits parisiennes, même si elle dépasse largement la capitale. Elle fonctionne comme anecdote car elle raconte une cuisine de fatigue, de chaleur et de ville qui ne dort pas. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Paris je t'aime Office de tourisme;moins de 15 secondes sur smartphone
75 Paris;gastronomie;Le saint-honoré;Le gâteau saint-honoré, associé à la pâtisserie parisienne du XIXe siècle, porte le nom du patron des boulangers. Crème, choux et caramel en font une architecture sucrée. C’est une spécialité parfaite pour relier Paris à la haute pâtisserie. Ce goût local donne une accroche simple au joueur sur smartphone.;3;peu commune;Bibliothèque nationale de France;moins de 15 secondes sur smartphone
75 Paris;gastronomie;Les bouillons populaires;Les bouillons parisiens naissent comme des restaurants abordables servant vite et beaucoup. Leur décor peut être spectaculaire, mais leur idée forte reste sociale. Paris y devient une ville où l’on nourrit les foules, pas seulement les gourmets. Ce goût local donne une accroche simple au joueur sur smartphone.;3;peu commune;Paris je t'aime Office de tourisme;moins de 15 secondes sur smartphone
